Links to Proxy Access Bylaws
(September 2017)
Company	Link
Altria Group, Inc.	http://www.sec.gov/Archives/edgar/data/764180/000076418015000093/exhibit31amendedandrestate.htm
Morgan Stanley 	http://www.sec.gov/Archives/edgar/data/895421/000095010315008454/dp60784_ex0301.htm
Kindred Healthcare, Inc.	http://www.sec.gov/Archives/edgar/data/1060009/000119312515360418/d17721dex31.htm
VCA Inc.	http://www.sec.gov/Archives/edgar/data/817366/000101143815000266/exhibit_3-1.htm
Visa Inc.	http://www.sec.gov/Archives/edgar/data/1403161/000119312515364620/d63037dex32.htm
Hewlett Packard Enterprise Company	http://www.sec.gov/Archives/edgar/data/1645590/000119312515330987/d944600dex32.htm
Hess Corporation	http://www.sec.gov/Archives/edgar/data/4447/000119312515372152/d48876dex32.htm
Spectra Energy Corp.	http://www.sec.gov/Archives/edgar/data/1373835/000119312515368396/d32055dex31.htm
Archer-Daniels-Midland Company	http://www.sec.gov/Archives/edgar/data/7084/000119312515369614/d28181dex3ii.htm
NVR, Inc.	https://www.sec.gov/Archives/edgar/data/906163/000119312516508404/d161848dex31.htm
Southwestern Energy Company	http://www.sec.gov/Archives/edgar/data/7332/000000733215000030/exhibit31.htm
3M Company	http://www.sec.gov/Archives/edgar/data/66740/000110465915077663/a15-22689_1ex3dii.htm
Aflac Incorporated	http://www.sec.gov/Archives/edgar/data/4977/000000497715000176/aflex31-amendedandrestated.htm
Cimarex Energy Co.	http://www.sec.gov/Archives/edgar/data/1168054/000110465915078323/a15-22896_1ex3d2.htm
Kohl’s Corporation 	http://www.sec.gov/Archives/edgar/data/885639/000089271215000993/exhibit3-2.htm
Target Corporation 	http://www.sec.gov/Archives/edgar/data/27419/000110465915078120/a15-22805_1ex3da.htm
AmerisourceBergen Corporation 	http://www.sec.gov/Archives/edgar/data/1140859/000110465915079931/a15-22988_2ex3d1.htm
AvalonBay Communities, Inc.	http://www.sec.gov/Archives/edgar/data/915912/000110465915078540/a15-22890_1ex3d2.htm
Level 3 Communications, Inc.	http://www.sec.gov/Archives/edgar/data/794323/000110465915078500/a15-22986_1ex3d1.htm
Oshkosh Corporation	https://www.sec.gov/Archives/edgar/data/775158/000089706916001035/cg802ex3-1.htm
American International Group, Inc.	http://www.sec.gov/Archives/edgar/data/5272/000119312515378441/d72861dex31.htm
The Allstate Corporation	http://www.sec.gov/Archives/edgar/data/899051/000110465915080277/a15-23760_1ex3d1.htm
Pioneer Natural Resources Company	http://www.sec.gov/Archives/edgar/data/1038357/000103835715000085/bylaws4threstatedfinal2015.htm
Union Pacific Corporation 	http://www.sec.gov/Archives/edgar/data/100885/000010088515000208/unp-20151119ex32a605ee0.htm
Windstream Holdings, Inc. 	http://www.sec.gov/Archives/edgar/data/1282266/000128226615000052/exhibit31.htm
The AES Corporation 	http://www.sec.gov/Archives/edgar/data/874761/000087476115000071/aesbylawsdec2015.htm
Staples, Inc.	http://www.sec.gov/Archives/edgar/data/791519/000110465915082214/a15-24262_1ex3d2.htm
General Dynamics Corporation 	https://www.sec.gov/Archives/edgar/data/40533/000119312515394126/d99136dex32.htm
The Dun & Bradstreet Corporation	https://www.sec.gov/Archives/edgar/data/1115222/000111522217000007/a201610-kxexhibit34.htm
Ecolab Inc.	http://www.sec.gov/Archives/edgar/data/31462/000110465915082720/a15-24359_2ex3d1.htm
Northrop Grumman Corporation	https://www.sec.gov/Archives/edgar/data/1133421/000113342116000069/noc-form8xkx021616xex32.htm
Corning Incorporated	http://www.sec.gov/Archives/edgar/data/24741/000119312515396611/d99159dex993ii.htm
Qualcomm Incorporated	https://www.sec.gov/Archives/edgar/data/804328/000123445216000471/qcom711168-kex32.htm
Applied Materials, Inc.	http://www.sec.gov/Archives/edgar/data/6951/000119312515401484/d102780dex31.htm
CarMax, Inc.	http://www.sec.gov/Archives/edgar/data/1170010/000117001015000048/ex31bylaws120815.htm
MetLife, Inc.	http://www.sec.gov/Archives/edgar/data/1099219/000119312515402581/d15112dex31.htm
Alaska Air Group, Inc.	http://www.sec.gov/Archives/edgar/data/766421/000076642115000054/alk8-kex32amendedandrestat.htm
Caterpillar Inc.	http://www.sec.gov/Archives/edgar/data/18230/000001823015000358/exhibit32.htm
Cheniere Energy, Inc.	https://www.sec.gov/Archives/edgar/data/3570/000119312516712789/d125628dex31.htm
Edison International	http://www.sec.gov/Archives/edgar/data/827052/000082705215000197/eixamendedbylaws12-10x2015.htm
Peabody Energy Corporation	http://www.sec.gov/Archives/edgar/data/1064728/000106472815000122/btuexh31121615bylaws.htm
PPG Industries, Inc.	http://www.sec.gov/Archives/edgar/data/79879/000007987915000055/exhibit31bylawsforproxyacc.htm
T. Rowe Price Group, Inc.	http://www.sec.gov/Archives/edgar/data/1113169/000111316915000029/trow-amendedandrestatedbyl.htm
Abbott Laboratories	http://www.sec.gov/Archives/edgar/data/1800/000110465915085552/a15-24938_1ex3d1.htm
Ameren Corporation 	http://www.sec.gov/Archives/edgar/data/1002910/000119312515402530/d102234dex31.htm
Honeywell International Inc.	http://www.sec.gov/Archives/edgar/data/773840/000093041316005463/c83927_ex3iii.htm
Illinois Tool Works Inc.	http://www.sec.gov/Archives/edgar/data/49826/000119312515406376/d107234dex3bi.htm
The Boeing Company	http://www.sec.gov/Archives/edgar/data/12927/000001292715000083/a201512dec14exhibit32bylaws.htm
Flowserve Corporation	https://www.sec.gov/Archives/edgar/data/30625/000119312516683116/d229150dex31.htm
Kimberly-Clark Corporation	http://www.sec.gov/Archives/edgar/data/55785/000005578515000121/exhibit3b.htm
Pfizer Inc.	http://www.sec.gov/Archives/edgar/data/78003/000007800315000053/bylaw15.htm
International Flavors & Fragrances Inc.	http://www.sec.gov/Archives/edgar/data/51253/000119312515406254/d107665dex3ii.htm
Public Service Enterprise Group Inc.	http://www.sec.gov/Archives/edgar/data/788784/000119312515404982/d44592dex991.htm
Sempra Energy	http://www.sec.gov/Archives/edgar/data/1032208/000008652115000075/ex3_1.htm
Dominion Resources, Inc.	http://www.sec.gov/Archives/edgar/data/715957/000071595715000032/exhibit3_1.htm
Wells Fargo & Company	http://www.sec.gov/Archives/edgar/data/72971/000119312515410257/d239794dex31.htm
AT&T Inc.	http://www.sec.gov/Archives/edgar/data/732717/000073271715000132/exhibit3.htm
Baxter International Inc.	http://www.sec.gov/Archives/edgar/data/10456/000119312515407007/d63927dex31.htm
PPL Corporation 	http://www.sec.gov/Archives/edgar/data/922224/000092222415000102/exhibit3_ii.htm
Apple Inc.	https://www.sec.gov/Archives/edgar/data/320193/000162828016022047/exhbit3212-15x16.htm
Gilead Sciences, Inc.	http://www.sec.gov/Archives/edgar/data/882095/000119312515412916/d109335dex32.htm
Duke Energy Corporation	http://www.sec.gov/Archives/edgar/data/1326160/000132616016000211/a20160104finalamendedandre.htm
Alexion Pharmaceuticals, Inc.	http://www.sec.gov/Archives/edgar/data/899866/000089986616000219/exhibit.htm
Corrections Corporation of America 	http://www.sec.gov/Archives/edgar/data/1070985/000119312516426638/d110816dex31.htm
PepsiCo, Inc.	http://www.sec.gov/Archives/edgar/data/77476/000110465916089161/a16-1365_1ex3d2.htm
MGM Resorts International 	http://www.sec.gov/Archives/edgar/data/789570/000119312516431231/d117513dex31.htm
