Links to Proxy Access Bylaws
(September 2017)
Company	Link
Barnes Group Inc.	https://www.sec.gov/Archives/edgar/data/9984/000000998416000168/bform8-k05062016exh31.htm
Norfolk Southern Corporation	https://www.sec.gov/Archives/edgar/data/702165/000070216516000286/nsbylaws-072916.htm
Automatic Data Processing, Inc.	https://www.sec.gov/Archives/edgar/data/8670/000095014216004212/eh1600858_ex0301.htm
Ashford Hospitality Prime, Inc.	https://www.sec.gov/Archives/edgar/data/1574085/000110465916138292/a16-16414_1ex3d1.htm
Allegheny Technologies Incorporated	https://www.sec.gov/Archives/edgar/data/1018963/000119312516678142/d223297dex31.htm
The PNC Financial Services Group, Inc.	https://www.sec.gov/Archives/edgar/data/713676/000119312516683131/d241922dex32.htm
Avista Corporation	https://www.sec.gov/Archives/edgar/data/104918/000010491816000260/ex32bylawsofavistacorpaug2.htm
Sysco Corporation	https://www.sec.gov/Archives/edgar/data/96021/000119312516698456/d249013dex32.htm
Adobe Systems Incorporated	https://www.sec.gov/Archives/edgar/data/796343/000079634316000386/exhibit32bylaws2016.htm
Deere & Company	https://www.sec.gov/Archives/edgar/data/315189/000110465916142463/a16-17606_2ex3d1.htm
United Rentals, Inc.	https://www.sec.gov/Archives/edgar/data/1047166/000119312516709755/d251238dex31.htm
Starbucks Corporation	https://www.sec.gov/Archives/edgar/data/829224/000119312516712327/d248520dex31.htm
Halliburton Company	https://www.sec.gov/Archives/edgar/data/45012/000004501216000367/amendedbylaws.htm
CONSOL Energy Inc.	https://www.sec.gov/Archives/edgar/data/1070412/000107041216000202/ex32consolbylawsamendedand.htm
Prologis, Inc.	https://www.sec.gov/Archives/edgar/data/1045609/000119312516717245/d246609dex31.htm
Valero Energy Corporation 	https://www.sec.gov/Archives/edgar/data/1035002/000119312516720832/d269573dex301.htm
Green Dot Corporation 	https://www.sec.gov/Archives/edgar/data/1386278/000138627816000194/docs-4108189xv2xgdot_xxbyl.htm
Lockheed Martin Corporation	https://www.sec.gov/Archives/edgar/data/936468/000119312516717064/d264945dex31.htm
American Express Company	https://www.sec.gov/Archives/edgar/data/4962/000000496216000195/bylaws31.htm
Costco Wholesale Corporation 	https://www.sec.gov/Archives/edgar/data/909832/000119312516727544/d66078dex32.htm
Becton, Dickinson and Company 	https://www.sec.gov/Archives/edgar/data/10795/000119312516727366/d308872dex31.htm
Mastercard Incorporated 	https://www.sec.gov/Archives/edgar/data/1141391/000114139116000220/exhibit32by-laws.htm
Universal Health Realty Income Trust	https://www.sec.gov/Archives/edgar/data/798783/000119312516729282/d189257dex31.htm
Acuity Brands, Inc.	https://www.sec.gov/Archives/edgar/data/1144215/000114421516000273/ayi-20161005x8xk_ex31.htm
AdvanSix Inc.	https://www.sec.gov/Archives/edgar/data/1673985/000095015716002291/ex3-2.htm
Chipotle Mexican Grill, Inc.	https://www.sec.gov/Archives/edgar/data/1058090/000119312516732859/d256990dex31.htm
Bemis Company, Inc.	https://www.sec.gov/Archives/edgar/data/11199/000110465916149363/a16-19599_1ex3dii.htm
NCR Corporation 	https://www.sec.gov/Archives/edgar/data/70866/000007086616000117/exhibit32.htm
Tenneco Inc.	https://www.sec.gov/Archives/edgar/data/1024725/000119312516739841/d272370dex32.htm
NextEra Energy, Inc.	https://www.sec.gov/Archives/edgar/data/753308/000075330816000431/exhibit3iib10142016.htm
L-3 Communications Holdings, Inc.	https://www.sec.gov/Archives/edgar/data/1039101/000156761916003332/s001486x2_ex3-2.htm
Whirlpool Corporation	https://www.sec.gov/Archives/edgar/data/106640/000010664016000118/exhibit32.htm
Boyd Gaming Corporation	https://www.sec.gov/Archives/edgar/data/906553/000090655316000130/exhibit31-amendedbyxlaws.htm
FleetCor Technologies, Inc.	https://www.sec.gov/Archives/edgar/data/1175454/000129993316003120/exhibit1.htm
FLIR Systems, Inc.	https://www.sec.gov/Archives/edgar/data/354908/000035490816000162/form8-kproxyaccessbylawsfi.htm
Marlin Business Services Corp.	https://www.sec.gov/Archives/edgar/data/1260968/000119312516742896/d460584dex31.htm
WEC Energy Group, Inc.	https://www.sec.gov/Archives/edgar/data/783325/000010781516000444/wecenergygroupexhibit31102.htm
Tesoro Corporation 	https://www.sec.gov/Archives/edgar/data/50104/000005010416000081/exhibit31-amendedandresta.htm
Superior Industries International, Inc.	https://www.sec.gov/Archives/edgar/data/95552/000119312516746586/d277716dex31.htm
Exxon Mobil Corporation 	https://www.sec.gov/Archives/edgar/data/34088/000003408816000096/xomexhibit3ii.htm
The Interpublic Group of Companies, Inc.	https://www.sec.gov/Archives/edgar/data/51644/000005164416000089/ipgexhibit3ii.htm
St. Jude Medical, Inc.	https://www.sec.gov/Archives/edgar/data/203077/000110465916152528/a16-20516_1ex3d2.htm
FelCor Lodging Trust Incorporated	https://www.sec.gov/Archives/edgar/data/923603/000092360316000164/exh32-bylawsoffelcorlodgin.htm
Synchrony Financial	https://www.sec.gov/Archives/edgar/data/1601712/000160171216000178/syfbylaws.htm
Delta Air Lines, Inc.	https://www.sec.gov/Archives/edgar/data/27904/000168316816000419/delta_8k-ex0301.htm
Adient plc	https://www.sec.gov/Archives/edgar/data/1670541/000110465916153775/a16-20369_1ex3d1.htm 
Alcoa Corporation	https://www.sec.gov/Archives/edgar/data/1675149/000119312516758975/d474959dex32.htm
Quality Care Properties, Inc.	https://www.sec.gov/Archives/edgar/data/1677203/000110465916153379/a16-20596_1ex3d3.htm
Yum China Holdings, Inc.	https://www.sec.gov/Archives/edgar/data/1673358/000104746916016421/a2230169zex-3_2.htm
United States Steel Corporation 	https://www.sec.gov/Archives/edgar/data/1163302/000116330216000143/exhibit31.htm
L Brands, Inc.	https://www.sec.gov/Archives/edgar/data/701985/000070198516000093/a31amendedandrestatedbylaw.htm
Mettler-Toledo International Inc.	https://www.sec.gov/Archives/edgar/data/1037646/000103764616000068/exhibit312016amendedby-laws.htm
The Travelers Companies, Inc.	https://www.sec.gov/Archives/edgar/data/86312/000110465916155858/a16-21180_1ex3d2.htm
Proto Labs, Inc.	https://www.sec.gov/Archives/edgar/data/1443669/000143774916041414/ex3-1.htm
Marvell Technology Group Ltd.	https://www.sec.gov/Archives/edgar/data/1058057/000119312516765958/d278571dex31.htm
Pebblebrook Hotel Trust	https://www.sec.gov/Archives/edgar/data/1474098/000147409816000160/exhibit32amendedandrestate.htm
Newfield Exploration Company	https://www.sec.gov/Archives/edgar/data/912750/000110465916157630/a16-21530_1ex3d1.htm
Ellie Mae, Inc.	https://www.sec.gov/Archives/edgar/data/1122388/000112238816000111/exhibit31.htm
Ethan Allen Interiors Inc.	https://www.sec.gov/Archives/edgar/data/896156/000143774916042407/ex3-d.htm
Chico’s FAS, Inc.	https://www.sec.gov/Archives/edgar/data/897429/000089742916000490/exhibit31amendedandrestate.htm
Juniper Networks, Inc.	https://www.sec.gov/Archives/edgar/data/1043604/000119312516772304/d282211dex31.htm
Southwest Airlines Co.	https://www.sec.gov/Archives/edgar/data/92380/000119312516773178/d282581dex31.htm
Host Hotels & Resorts, Inc.	https://www.sec.gov/Archives/edgar/data/1070750/000119312516775209/d287476dex31.htm
Nasdaq, Inc.	https://www.sec.gov/Archives/edgar/data/1120193/000119312516773816/d294194dex32.htm
O’Reilly Automotive, Inc.	https://www.sec.gov/Archives/edgar/data/898173/000089817316000409/exhibit32.htm
NVIDIA Corporation 	https://www.sec.gov/Archives/edgar/data/1045810/000104581016000356/amendedandrestatedbylawsof.htm
Spirit AeroSystems Holdings, Inc.	https://www.sec.gov/Archives/edgar/data/1364885/000110465916160654/a16-22579_1ex3d1.htm
NRG Energy, Inc.	https://www.sec.gov/Archives/edgar/data/1013871/000110465916161011/a16-22714_1ex3d1.htm
Berry Plastics Group, Inc.	https://www.sec.gov/Archives/edgar/data/1378992/000157104916020382/t1602968_ex3-1.htm
Danaher Corporation	https://www.sec.gov/Archives/edgar/data/313616/000119312516786402/d305490dex32.htm
Textron Inc.	https://www.sec.gov/Archives/edgar/data/217346/000110465916161176/a16-22811_1ex3d2.htm
Valley National Bancorp	https://www.sec.gov/Archives/edgar/data/714310/000071431016000301/exhibit31-2016vnbbyxlawsam.htm
Community Health Systems, Inc.	https://www.sec.gov/Archives/edgar/data/1108109/000119312516790751/d296605dex31.htm
Celgene Corporation	https://www.sec.gov/Archives/edgar/data/816284/000157104916020556/t1603049_ex3-1.htm
Ferro Corporation	https://www.sec.gov/Archives/edgar/data/35214/000003521416000144/foe-20161212xex3_1.htm
Ingredion Incorporated	https://www.sec.gov/Archives/edgar/data/1046257/000119312516793108/d309196dex31.htm
Atlas Air Worldwide Holdings, Inc.	https://www.sec.gov/Archives/edgar/data/1135185/000129993316003331/exhibit1.htm
AutoNation, Inc.	https://www.sec.gov/Archives/edgar/data/350698/000035069816000363/ex-31.htm
Texas Instruments Incorporated	https://www.sec.gov/Archives/edgar/data/97476/000156459016030135/txn-ex3_6.htm
Urban Outfitters, Inc.	https://www.sec.gov/Archives/edgar/data/912615/000119312516790744/d245690dex34.htm
Intuitive Surgical, Inc.	https://www.sec.gov/Archives/edgar/data/1035267/000103526716000248/ex31amendedandrestatedbyla.htm
Mead Johnson Nutrition Company	https://www.sec.gov/Archives/edgar/data/1452575/000145257516000098/exhibit31-amendedandrestat.htm
EMCOR Group, Inc.	https://www.sec.gov/Archives/edgar/data/105634/000010563416000509/exhibit3-2_121416.htm
Discover Financial Services	https://www.sec.gov/Archives/edgar/data/1393612/000119312516797383/d283277dex31.htm
The Dow Chemical Company 	https://www.sec.gov/Archives/edgar/data/29915/000119312516795843/d244831dex3ii.htm
QEP Resources, Inc.	https://www.sec.gov/Archives/edgar/data/1108827/000110882716000103/exhibitbylaws.htm
Verifone Systems, Inc.	https://www.sec.gov/Archives/edgar/data/1312073/000131207316000111/amendedandrestatedbylaws.htm
BB&T Corporation	https://www.sec.gov/Archives/edgar/data/92230/000009223016000217/exh31bylaws-dec2016.htm
FMC Corporation 	https://www.sec.gov/Archives/edgar/data/37785/000003778516000115/fmcex3112222016.htm
C.R. Bard, Inc.	https://www.sec.gov/Archives/edgar/data/9892/000119312516802759/d316525dex31.htm
3D Systems Corporation	https://www.sec.gov/Archives/edgar/data/910638/000117184316013792/exh_31.htm
Medtronic plc	https://www.sec.gov/Archives/edgar/data/64670/000119312517030983/d338710dex32.htm
Huntsman Corporation	https://www.sec.gov/Archives/edgar/data/1307954/000110465916163767/a16-23656_1ex3d1.htm
SCANA Corporation	https://www.sec.gov/Archives/edgar/data/754737/000075473717000003/exhibitabylawamendment.htm
Laboratory Corporation of America Holdings	https://www.sec.gov/Archives/edgar/data/920148/000119312517005703/d288007dex31.htm
Ventas, Inc.	https://www.sec.gov/Archives/edgar/data/740260/000110465917001966/a17-1709_1ex3d2.htm
CBRE Group, Inc.	https://www.sec.gov/Archives/edgar/data/1138118/000119312517007881/d294443dex31.htm
Illumina, Inc.	https://www.sec.gov/Archives/edgar/data/1110803/000111080317000003/a170111bylaws.htm
Marsh & McLennan Companies, Inc.	https://www.sec.gov/Archives/edgar/data/62709/000006270917000002/mmcbylawsproxyaccessfinal0.htm
SUPERVALU INC.	https://www.sec.gov/Archives/edgar/data/95521/000009552117000015/q4-f17bylawsex31.htm
The Williams Companies, Inc.	https://www.sec.gov/Archives/edgar/data/107263/000119312517014098/d331523dex31.htm
AK Steel Holding Corporation	https://www.sec.gov/Archives/edgar/data/918160/000091816017000020/exhibit31-amendedandrestat.htm
People’s United Financial, Inc.	https://www.sec.gov/Archives/edgar/data/1378946/000119312517016362/d294146dex31.htm
Schlumberger Limited/N.V.	https://www.sec.gov/Archives/edgar/data/87347/000119312517013293/d333168dex31.htm
Fortive Corporation	https://www.sec.gov/Archives/edgar/data/1659166/000165916617000024/arbylaws12417-exhibit.htm
Lincoln National Corporation	https://www.sec.gov/Archives/edgar/data/59558/000005955817000002/bylaws.htm
Mattel, Inc.	https://www.sec.gov/Archives/edgar/data/63276/000119312517023638/d334919dex31.htm
Ciena Corporation 	https://www.sec.gov/Archives/edgar/data/936395/000093639517000005/ex31-secondamendedandresta.htm
Comcast Corporation 	https://www.sec.gov/Archives/edgar/data/1166691/000095010317000690/dp72168_ex0301.htm
Fidelity National Information Services, Inc.	https://www.sec.gov/Archives/edgar/data/1136893/000113689317000003/exhibit31fisfourthamendeda.htm
Progenics Pharmaceuticals, Inc.	https://www.sec.gov/Archives/edgar/data/835887/000143774917001305/ex3-2.htm
Entergy Corporation	https://www.sec.gov/Archives/edgar/data/65984/000006598417000022/a0031731.htm
Sprouts Farmers Market, Inc.	https://www.sec.gov/Archives/edgar/data/1575515/000156459017000737/sfm-ex32_39.htm
Bioverativ Inc.	https://www.sec.gov/Archives/edgar/data/1681689/000110465917005376/a17-3418_1ex4d2.htm
Skyworks Solutions, Inc.	https://www.sec.gov/Archives/edgar/data/4127/000000412717000010/skyworks-thirdamendedandre.htm
Phillips 66	https://www.sec.gov/Archives/edgar/data/1534701/000153470117000025/phillips66by-lawsrevfeb820.htm
CME Group Inc.	https://www.sec.gov/Archives/edgar/data/1156375/000129993317000139/exhibit1.htm
Coach, Inc.	https://www.sec.gov/Archives/edgar/data/1116132/000115752317000438/a51508339ex3_1.htm
Lam Research Corporation 	https://www.sec.gov/Archives/edgar/data/707549/000070754917000020/bylaws.htm
Marriott International, Inc.	https://www.sec.gov/Archives/edgar/data/1048286/000119312517043514/d326991dex3ii.htm
Tractor Supply Company	https://www.sec.gov/Archives/edgar/data/916365/000091636517000026/a31iififthamendedandrestat.htm
AMETEK, Inc.	https://www.sec.gov/Archives/edgar/data/1037868/000129993317000137/exhibit1.htm
PulteGroup, Inc.	https://www.sec.gov/Archives/edgar/data/822416/000082241617000011/ex31-amendedandrestatedbyx.htm
Meritage Homes Corporation	https://www.sec.gov/Archives/edgar/data/833079/000083307917000028/amendedandrestatedbylaws-2.htm
Sealed Air Corporation 	https://www.sec.gov/Archives/edgar/data/1012100/000119312517047707/d350215dex31.htm
Consolidated Edison, Inc.	https://www.sec.gov/Archives/edgar/data/1047862/000119312517046728/d347757dex31.htm
Devry Education Group	https://www.sec.gov/Archives/edgar/data/730464/000115752317000527/a51511695ex3_1.htm
Diebold Nixdorf, Incorporated 	https://www.sec.gov/Archives/edgar/data/28823/000002882317000046/ex31iiarcodeofregulat17c.htm
Medical Properties Trust, Inc. 	https://www.sec.gov/Archives/edgar/data/1287865/000119312517052229/d331546dex31.htm
ACI Worldwide, Inc.	https://www.sec.gov/Archives/edgar/data/935036/000119312517058978/d347334dex31.htm
Essex Property Trust, Inc.	https://www.sec.gov/Archives/edgar/data/920522/000156761917000322/s001565x1_ex3-2.htm
Leggett & Platt, Incorporated	https://www.sec.gov/Archives/edgar/data/58492/000119312517051474/d256999dex322.htm
CenterPoint Energy, Inc.	https://www.sec.gov/Archives/edgar/data/1130310/000119312517056500/d354129dex31.htm
OGE Energy Corp.	https://www.sec.gov/Archives/edgar/data/1021635/000102163517000016/exhibit3012-22x17.htm
ONEOK, Inc.	https://www.sec.gov/Archives/edgar/data/1039684/000103968417000008/okeamendedby-laws2017exh.htm
Pinnacle West Capital Corporation	https://www.sec.gov/Archives/edgar/data/7286/000076462217000012/exhibit31.htm
Albemarle Corporation	https://www.sec.gov/Archives/edgar/data/915913/000091591317000012/exhibit3ii.htm
Arconic Inc.	https://www.sec.gov/Archives/edgar/data/4281/000119312517062657/d293282dex3b.htm
Dentsply Sirona Inc.	https://www.sec.gov/Archives/edgar/data/818479/000081847917000007/exhibit32amendedandrestate.htm
Leucadia National Corporation	https://www.sec.gov/Archives/edgar/data/96223/000009622317000009/exhibit39.htm
GameStop Corp.	https://www.sec.gov/Archives/edgar/data/1326380/000132638017000012/ex322_blacklinefourthtofif.htm
The Goodyear Tire & Rubber Company	https://www.sec.gov/Archives/edgar/data/42582/000119312517071682/d285828dex31.htm
Advance Auto Parts, Inc.	https://www.sec.gov/Archives/edgar/data/1158449/000115844917000065/exhibit333717.htm
Thermo Fisher Scientific Inc.	https://www.sec.gov/Archives/edgar/data/97745/000009774517000009/tmo201702288kex31.htm
CDK Global, Inc.	https://www.sec.gov/Archives/edgar/data/1609702/000117184317001396/exh_31.htm
LKQ Corporation 	https://www.sec.gov/Archives/edgar/data/1065696/000106569617000012/exhibit31.htm
Ross Stores, Inc.	https://www.sec.gov/Archives/edgar/data/745732/000074573217000005/exhibit33.htm
W.W. Grainger, Inc.	https://www.sec.gov/Archives/edgar/data/277135/000110465917015516/a17-8047_1ex3d1d2.htm
Vornado Realty Trust	https://www.sec.gov/Archives/edgar/data/899689/000089968917000010/exhibit31.htm
W. P. Carey Inc.	https://www.sec.gov/Archives/edgar/data/1025378/000102537817000019/wpc20178-kbylawamendmentexh.htm
Cypress Semiconductor Corporation	https://www.sec.gov/Archives/edgar/data/791915/000110465917019199/a17-4532_14ex3d2.htm
Dollar General Corporation	https://www.sec.gov/Archives/edgar/data/29534/000110465917018852/a17-8466_1ex3d1.htm
PharMerica Corporation	https://www.sec.gov/Archives/edgar/data/1388195/000114036117014002/ex3_1.htm
USA Truck, Inc.	https://www.sec.gov/Archives/edgar/data/883945/000100888617000038/exhibit31.htm
Simpson Manufacturing Co., Inc.	https://www.sec.gov/Archives/edgar/data/920371/000121390017002914/f8k032817ex3ii_simpsonmanu.htm
Simon Property Group, Inc.	https://www.sec.gov/Archives/edgar/data/1063761/000110465917019023/a17-9020_1ex3d1.htm
Lexington Realty Trust	https://www.sec.gov/Archives/edgar/data/790877/000144483817000013/exhibit31.htm
A. Schulman, Inc.	https://www.sec.gov/Archives/edgar/data/87565/000008756517000015/shlmq217exhibit31.htm
Xilinx, Inc.	https://www.sec.gov/Archives/edgar/data/743988/000074398817000032/exhibit32.htm
The Ultimate Software Group, Inc.	https://www.sec.gov/Archives/edgar/data/1016125/000101612517000050/exhibit32q217.htm
The GEO Group, Inc.	https://www.sec.gov/Archives/edgar/data/923796/000119312517126104/d377930dex31.htm
WebMD Health Corp.	https://www.sec.gov/Archives/edgar/data/1326583/000119312517127444/d379577dex31.htm
NIKE, Inc.	https://www.sec.gov/Archives/edgar/data/320187/000032018717000043/fourthrestatedbylaws.htm
PTC Therapeutics, Inc.	https://www.sec.gov/Archives/edgar/data/1070081/000107008117000074/bylawsexhibit31of421178-k.htm
Eaton Corporation plc	https://www.sec.gov/Archives/edgar/data/1551182/000155118217000127/armemorandumarticles2017.htm
Global Payments Inc.	https://www.sec.gov/Archives/edgar/data/1123360/000112336017000026/ex31eighthamendedandrestat.htm
Eversource Energy	https://www.sec.gov/Archives/edgar/data/72741/000007274117000019/declarationoftrustsoscert201.htm
Cummins Inc.	https://www.sec.gov/Archives/edgar/data/26172/000104746917002004/a2231425zdef14a.htm
Pentair plc	https://www.sec.gov/Archives/edgar/data/77360/000119312517164403/d365501dex31.htm
Calpine Corp.	https://www.sec.gov/Archives/edgar/data/916457/000091645717000039/exhibit31amendedandrestate.htm
Invesco Ltd.	https://www.sec.gov/Archives/edgar/data/914208/000091420817000424/ivz2q2017ex32.htm 
Assurant, Inc.	https://www.sec.gov/Archives/edgar/data/1267238/000119312517168584/d392723dex32.htm
Bed Bath & Beyond Inc.	https://www.sec.gov/Archives/edgar/data/886158/000119312517172350/d383269dex31.htm
Symantec Corporation	https://www.sec.gov/Archives/edgar/data/849399/000084939917000009/a33117exhibit305arbylaws.htm
JBG SMITH Properties	https://www.sec.gov/Archives/edgar/data/1689796/000104746917003927/a2232230zex-3_2.htm
Thermon Group Holdings, Inc.	https://www.sec.gov/Archives/edgar/data/1489096/000148909617000042/a201706152arbylawsproxyacc.htm
Dollar Tree, Inc.	https://www.sec.gov/Archives/edgar/data/935703/000093570317000032/ex31bylawsofdollartreeinca.htm
Minerals Technologies Inc.	https://www.sec.gov/Archives/edgar/data/891014/000089101417000017/ex3_1.htm
Perrigo Company plc	https://www.sec.gov/Archives/edgar/data/1585364/000119312517197080/d341588ddef14a.htm
Regions Financial Corporation	https://www.sec.gov/Archives/edgar/data/1281761/000128176117000075/rfcbylaws7-27x17.htm
Emerson Electric Co.	https://www.sec.gov/Archives/edgar/data/32604/000114036117029789/ex3_2.htm
Aramark	https://www.sec.gov/Archives/edgar/data/1584509/000158450917000164/ex33amendedandrestatedbyla.htm
National Oilwell Varco, Inc.	https://www.sec.gov/Archives/edgar/data/1021860/000119312517256070/d442215dex31.htm
First American Financial Corporation 	https://www.sec.gov/Archives/edgar/data/1472787/000119312517264016/d360431dex31.htm
Catalent, Inc.	https://www.sec.gov/Archives/edgar/data/1596783/000159678317000146/catalent2017630-ex31.htm







2
ACTIVE 209400161




ACTIVE 209400161

